Navio: Suezmax T172
Cenário: Forte
Manobra: Entrada STS PGL3B Atrac. BE
Corrente: N 0.8nó 
Vento: SE 20nós 
Onda: 1.7m 10s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-160.05 3.85 -0.26 -0.0 0.0 0 64.311 66.901 2690.156
-160.05 3.85 -0.26 -0.0 0.0 0 64.303 66.909 2689.763
-160.05 3.85 -0.26 -0.0 0.0 0 64.283 66.928 2689.377
-160.05 3.85 -0.26 -0.0 0.0 0 64.263 66.948 2688.992
-160.05 3.85 -0.26 -0.0 0.0 0 64.243 66.968 2688.606
-160.05 3.85 -0.26 -0.0 0.0 0 64.233 66.978 2688.223
-160.05 3.85 -0.26 -0.0 0.0 0 64.214 66.997 2687.837
-160.05 3.85 -0.26 -0.0 0.0 0 64.194 67.017 2687.451
-160.05 3.85 -0.26 -0.0 0.0 0 64.184 67.027 2687.068
-160.05 3.85 -0.26 -0.0 0.0 0 64.164 67.047 2686.683
-160.05 3.85 -0.26 -0.0 0.0 0 64.144 67.067 2686.297
-160.05 3.85 -0.26 -0.0 0.0 0 64.127 67.084 2685.901
-160.05 3.85 -0.26 -0.0 0.0 0 64.117 67.094 2685.518
-160.05 3.85 -0.26 -0.0 0.0 0 64.097 67.114 2685.133
-160.05 3.85 -0.26 -0.0 0.0 0 64.077 67.134 2684.747
-160.05 3.85 -0.26 -0.0 0.0 0 64.067 67.144 2684.364
-160.05 3.85 -0.26 -0.0 0.0 0 64.047 67.163 2683.978
-160.05 3.85 -0.26 -0.0 0.0 0 64.027 67.183 2683.592
-160.05 3.85 -0.26 -0.0 0.0 0 64.008 67.203 2683.207
-160.05 3.85 -0.26 -0.0 0.01 0 63.998 67.213 2682.823
-160.05 3.85 -0.26 -0.0 0.01 0 63.978 67.232 2682.438
-160.05 3.85 -0.26 -0.0 0.01 0 63.958 67.252 2682.052
-160.05 3.85 -0.26 -0.0 0.01 0 63.948 67.262 2681.669
-160.05 3.85 -0.26 -0.0 0.01 0 63.93 67.28 2681.273
-160.05 3.85 -0.26 -0.0 0.01 0 63.911 67.299 2680.888
-160.05 3.85 -0.26 -0.0 0.01 0 63.901 67.309 2680.504
-160.05 3.85 -0.26 -0.0 0.01 0 63.881 67.329 2680.119
-160.05 3.85 -0.26 -0.0 0.01 0 63.861 67.349 2679.733
-160.05 3.85 -0.26 -0.0 0.01 0 63.851 67.359 2679.35
-160.05 3.85 -0.26 -0.0 0.01 0 63.831 67.379 2678.964
-160.05 3.85 -0.26 -0.0 0.01 0 63.811 67.398 2678.578
-160.05 3.85 -0.26 -0.0 0.01 0 63.801 67.408 2678.195
-160.05 3.85 -0.26 -0.0 0.01 0 63.781 67.428 2677.81
-160.05 3.85 -0.26 -0.0 0.01 0 63.762 67.448 2677.424
-160.05 3.85 -0.26 -0.0 0.01 0 63.752 67.458 2677.041
-160.05 3.85 -0.26 -0.0 0.01 0 63.732 67.477 2676.655
